locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_19645,NE,NE,NE,NE,NA,NA,O-methyltransferase,K00588,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104],mdmC,S,o-methyltransferase,R7A2020_19645,4034668,4035333,666,-1,0.108,0.044,0.023,0.021,0.115,0.037,0.032,0.03
R7A2020_19650,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,K,DNA-directed RNA polymerase subunit beta',K03046,DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],rpoC,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoC,4035548,4039744,4197,-1,0.001,0,0,0,0.001,0,0,0
R7A2020_19655,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,K,DNA-directed RNA polymerase subunit beta,K03043,DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],rpoB,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoB,4039875,4044011,4137,-1,0,0,0,0,0,0,0,0
R7A2020_19660,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,50S ribosomal protein L7/L12,K02935,large subunit ribosomal protein L7/L12,rplL,J,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation,rplL,4044262,4044639,378,-1,0.003,0,0,0,0,0,0,0
R7A2020_19665,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,50S ribosomal protein L10,K02864,large subunit ribosomal protein L10,rplJ,J,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",rplJ,4044694,4045212,519,-1,0,0,0,0,0,0,0,0
R7A2020_19670,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,50S ribosomal protein L1,K02863,large subunit ribosomal protein L1,rplA,J,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release",rplA,4045606,4046304,699,-1,0,0,0,0,0.002,0,0,0
R7A2020_19675,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,50S ribosomal protein L11,K02867,large subunit ribosomal protein L11,rplK,J,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors,rplK,4046309,4046737,429,-1,0,0,0,0,0.003,0,0,0
R7A2020_19680,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,K,transcription termination/antitermination protein NusG,K02601,transcription termination/antitermination protein NusG,nusG,K,"Participates in transcription elongation, termination and antitermination",nusG,4046908,4047435,528,-1,0,0,0,0,0,0,0,0
R7A2020_19685,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,U,preprotein translocase subunit SecE,K03073,preprotein translocase subunit SecE,secE,U,Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation,secE,4047465,4047668,204,-1,0.006,0,0,0.006,0.006,0.006,0,0
R7A2020_19690,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_19690,4048031,4048106,76,-1,0.015,0,0,0,0,0,0,0
R7A2020_19695,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_19695,4048337,4048719,383,-1,0.126,0.046,0.034,0.034,0.129,0.04,0.04,0.049
R7A2020_19700,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,S,PeriplasmiC protein,R7A2020_19700,4048816,4050480,1665,-1,0.141,0.058,0.044,0.045,0.147,0.055,0.051,0.049
R7A2020_19705,NE,NE,NE,NE,NA,NA,elongation factor Tu,K02358,elongation factor Tu,tuf,J,GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis,tuf,4050636,4051811,1176,-1,0.135,0.055,0.045,0.02,0.168,0.075,0.041,0.039
R7A2020_19710,NE,NE,NE,NE,NA,NA,DMT family transporter,K15270,S-adenosylmethionine uptake transporter,NA,EG,Evidence 4 Homologs of previously reported genes of,R7A2020_19710,4052106,4052993,888,1,0.165,0.071,0.06,0.044,0.161,0.057,0.062,0.05
R7A2020_19715,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19715,4053105,4053242,138,1,0.076,0.025,0.042,0.025,0.143,0.05,0.067,0.042
R7A2020_19720,NE,NE,NE,NE,NA,NA,GlsB/YeaQ/YmgE family stress response membrane protein,NA,NA,ymgE,S,PFAM Transglycosylase-associated protein,R7A2020_19720,4053401,4053658,258,-1,0.122,0.041,0.054,0.014,0.149,0.077,0.054,0.032
R7A2020_19725,NE,NE,WT-TY-ES,NE,NA,S,YidB family protein,NA,NA,yidB,S,Bacterial protein of unknown function (DUF937),R7A2020_19725,4053789,4054238,450,1,0.11,0.068,0.016,0.016,0.167,0.063,0.055,0.057
R7A2020_19730,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_19730,4054318,4054391,74,-1,0,0,0,0,0,0,0,0
R7A2020_19735,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_19735,4054482,4054566,85,-1,0,0,0,0,0.014,0,0,0.014
R7A2020_19740,NE,NE,NE,NE,NA,NA,RNA methyltransferase,K03218,23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185],rlmB,J,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,R7A2020_19740,4054769,4055617,849,1,0.13,0.054,0.043,0.032,0.151,0.055,0.048,0.033
R7A2020_19745,NE,NE,NE,NE,NA,NA,2-hydroxy-3-oxopropionate reductase,K00042,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60],glxR,I,catalyzed the reversible formation of glycerate from tartronate semialdehyde,R7A2020_19745,4055734,4056714,981,-1,0.18,0.083,0.056,0.053,0.194,0.088,0.06,0.07
R7A2020_19750,NE,NE,NE,NE,NA,NA,hydroxypyruvate isomerase,K22131,2-dehydrotetronate isomerase [EC:5.3.1.35],hyi,G,Belongs to the hyi family,hyi,4056757,4057554,798,-1,0.129,0.043,0.044,0.041,0.14,0.05,0.057,0.049
R7A2020_19755,NE,NE,NE,NE,NA,NA,glyoxylate carboligase,K01608,tartronate-semialdehyde synthase [EC:4.1.1.47],gcl,S,Belongs to the TPP enzyme family,gcl,4057565,4059346,1782,-1,0.146,0.059,0.057,0.037,0.137,0.048,0.055,0.045
R7A2020_19760,NE,NE,NE,NE,NA,NA,IclR family transcriptional regulator,K13641,"IclR family transcriptional regulator, acetate operon repressor",iclR,K,Transcriptional regulator,R7A2020_19760,4059560,4060381,822,1,0.139,0.043,0.041,0.043,0.153,0.059,0.05,0.05
R7A2020_19765,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19765,4060517,4060927,411,1,0.111,0.04,0.046,0.02,0.114,0.029,0.04,0.037
R7A2020_19770,NE,NE,NE,NE,NA,NA,BA14K family protein,NA,NA,NA,S,BA14K-like protein,R7A2020_19770,4061007,4061312,306,-1,0.161,0.046,0.073,0.042,0.126,0.057,0.042,0.034
R7A2020_19775,NE,NE,NE,WT-GR-ES,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19775,4061501,4061704,204,-1,0.138,0.052,0.034,0.011,0.172,0.046,0.08,0.04
R7A2020_19780,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19780,4061904,4062071,168,-1,0.097,0.035,0.035,0.014,0.146,0.035,0.056,0.056
R7A2020_19785,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_19785,4062228,4062303,76,1,0.03,0.015,0,0,0,0,0,0
R7A2020_19790,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,transcriptional regulator,R7A2020_19790,4062477,4063403,927,-1,0.108,0.034,0.044,0.042,0.134,0.042,0.053,0.051
R7A2020_19795,NE,NE,NE,NE,NA,NA,NADPH-dependent F420 reductase,K06988,8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40],NA,S,NADP oxidoreductase coenzyme F420-dependent,R7A2020_19795,4063516,4064211,696,1,0.157,0.067,0.062,0.056,0.179,0.076,0.062,0.066
R7A2020_19800,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19800,4064278,4064667,390,-1,0.114,0.03,0.054,0.033,0.175,0.075,0.063,0.051
R7A2020_19805,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_19805,4064783,4065412,630,-1,0.166,0.052,0.063,0.047,0.177,0.063,0.069,0.062
R7A2020_19810,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,K14731,epsilon-lactone hydrolase [EC:3.1.1.83],vgb,I,Steryl acetyl hydrolase,R7A2020_19810,4065414,4066364,951,-1,0.171,0.068,0.051,0.053,0.205,0.067,0.073,0.08
R7A2020_19815,NE,NE,NE,NE,NA,NA,NmrA/HSCARG family protein,K19267,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],NA,GM,NmrA family,R7A2020_19815,4066400,4067278,879,-1,0.124,0.055,0.044,0.027,0.15,0.044,0.047,0.067
R7A2020_19820,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR family,R7A2020_19820,4067388,4068284,897,1,0.113,0.05,0.041,0.025,0.114,0.046,0.043,0.033
R7A2020_19825,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_19825,4068323,4068418,96,-1,0.193,0.072,0.072,0.072,0.253,0.12,0.133,0.145
R7A2020_19830,NE,NE,NE,NE,NA,NA,TetR/AcrR family transcriptional regulator,NA,NA,NA,K,Transcriptional regulator,R7A2020_19830,4068499,4069113,615,-1,0.116,0.032,0.052,0.036,0.115,0.032,0.044,0.04
R7A2020_19835,NE,NE,NE,NE,NA,NA,spermidine/putrescine ABC transporter substrate-binding protein,NA,NA,NA,E,binding protein component of ABC transporter,R7A2020_19835,4069205,4070296,1092,1,0.127,0.048,0.054,0.047,0.144,0.041,0.054,0.057
R7A2020_19840,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02054,putative spermidine/putrescine transport system permease protein,NA,P,"ABC-type spermidine putrescine transport system, permease component I",R7A2020_19840,4070310,4071176,867,1,0.141,0.046,0.054,0.047,0.175,0.066,0.073,0.06
R7A2020_19845,NE,NE,NE,NE,NA,NA,ABC transporter permease,NA,NA,NA,P,"ABC-type spermidine putrescine transport system, permease component II",R7A2020_19845,4071178,4071960,783,1,0.147,0.042,0.068,0.039,0.153,0.05,0.056,0.056
R7A2020_19850,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K10822,nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2],potA,E,ABC transporter,R7A2020_19850,4071957,4073021,1065,1,0.161,0.064,0.052,0.041,0.184,0.066,0.07,0.055
R7A2020_19855,NE,NE,NE,NE,NA,NA,MBL fold metallo-hydrolase,NA,NA,NA,S,Metallo-beta-lactamase superfamily,R7A2020_19855,4073023,4073784,762,1,0.153,0.051,0.069,0.046,0.131,0.034,0.051,0.051
R7A2020_19860,NE,NE,NE,NE,NA,NA,TetR/AcrR family transcriptional regulator,NA,NA,NA,K,"Bacterial regulatory proteins, tetR family",R7A2020_19860,4073791,4074489,699,-1,0.181,0.065,0.067,0.065,0.191,0.074,0.079,0.062
R7A2020_19865,NE,NE,NE,NE,NA,NA,amidase,K01426,amidase [EC:3.5.1.4],NA,J,COG0154 Asp-tRNAAsn Glu-tRNAGln amidotransferase A subunit and related amidases,R7A2020_19865,4074580,4076007,1428,-1,0.156,0.054,0.06,0.049,0.151,0.058,0.06,0.047
R7A2020_19870,NE,NE,NE,NE,NA,NA,extracellular solute-binding protein,NA,NA,NA,E,Required for the activity of the bacterial periplasmic transport system of putrescine,R7A2020_19870,4076105,4077139,1035,-1,0.12,0.052,0.053,0.036,0.134,0.059,0.042,0.051
R7A2020_19875,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19875,4077545,4077766,222,-1,0.101,0.016,0.053,0.032,0.132,0.053,0.016,0.053
R7A2020_19880,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,G,NAD kinase,K00858,NAD+ kinase [EC:2.7.1.23],nadK,G,"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP",R7A2020_19880,4078075,4078848,774,1,0,0,0,0,0.003,0,0,0
R7A2020_19885,NE,NE,NE,NE,NA,NA,DEAD/DEAH box helicase,K11927,ATP-dependent RNA helicase RhlE [EC:3.6.4.13],rhlE,L,Belongs to the DEAD box helicase family,R7A2020_19885,4079039,4080622,1584,1,0.115,0.047,0.045,0.02,0.144,0.073,0.031,0.027
R7A2020_19890,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19890,4080712,4081320,609,-1,0.177,0.073,0.048,0.033,0.189,0.091,0.048,0.062
R7A2020_19895,NE,NE,NE,NE,NA,NA,OmpA family protein,K03286,"OmpA-OmpF porin, OOP family",yiaD,M,Belongs to the ompA family,R7A2020_19895,4081567,4082217,651,-1,0.128,0.038,0.051,0.02,0.152,0.049,0.056,0.038
R7A2020_19900,NE,NE,NE,NE,NA,NA,GFA family protein,NA,NA,NA,S,Glutathione-dependent formaldehyde-activating,R7A2020_19900,4082345,4082713,369,-1,0.098,0.041,0.054,0.029,0.102,0.041,0.044,0.032
R7A2020_19905,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19905,4082804,4083175,372,-1,0.205,0.082,0.073,0.066,0.183,0.069,0.054,0.05
R7A2020_19910,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,peptide chain release factor 2,K02836,peptide chain release factor 2,prfB,J,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA,R7A2020_19910,4083421,4084552,1132,-1,0,0,0,0,0.001,0,0.001,0
R7A2020_19915,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,M,penicillin-binding protein 1A,K05366,penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],mrcA,M,penicillin-binding protein,R7A2020_19915,4084681,4087137,2457,-1,0.025,0.005,0.014,0.007,0.032,0.01,0.015,0.003
R7A2020_19920,NE,TB-GD,NE,GR-GD,NA,M,N-acetylmuramoyl-L-alanine amidase,K01448,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],amiC,M,N-acetylmuramoyl-L-alanine amidase,R7A2020_19920,4087351,4088613,1263,-1,0.061,0.018,0.034,0.01,0.082,0.015,0.054,0.018
R7A2020_19925,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,Rne/Rng family ribonuclease,K08300,ribonuclease E [EC:3.1.26.12],rne,J,Endoribonuclease that plays a central role in RNA processing and decay. Required for the maturation of 5S and 16S rRNAs and the majority of tRNAs. Also involved in the degradation of most mRNAs,R7A2020_19925,4089265,4092219,2955,1,0.033,0.016,0.012,0.006,0.036,0.02,0.01,0.008
R7A2020_19930,NE,NE,NE,NE,NA,NA,glutaminase,K01425,glutaminase [EC:3.5.1.2],glsA,E,Belongs to the glutaminase family,R7A2020_19930,4092314,4093261,948,-1,0.113,0.046,0.036,0.025,0.123,0.051,0.036,0.031
R7A2020_19935,NE,NE,NE,NE,NA,NA,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,NA,NA,aspB,E,Aminotransferase class I and II,R7A2020_19935,4093266,4094414,1149,-1,0.183,0.081,0.069,0.044,0.184,0.073,0.067,0.066
R7A2020_19940,NE,NE,NE,NE,NA,NA,M48 family metallopeptidase,NA,NA,MA20_29180,S,peptidase,R7A2020_19940,4094499,4095953,1455,1,0.152,0.057,0.048,0.052,0.192,0.064,0.073,0.066
R7A2020_19945,NE,NE,NE,NE,NA,NA,DsbA family protein,NA,NA,dsbA,O,DSBA oxidoreductase,R7A2020_19945,4096018,4096818,801,1,0.125,0.032,0.044,0.041,0.142,0.057,0.065,0.035
R7A2020_19950,GD,NE,TY-ES,GR-ES,NA,E,type II 3-dehydroquinate dehydratase,K03786,3-dehydroquinate dehydratase II [EC:4.2.1.10],aroQ,E,Catalyzes a trans-dehydration via an enolate intermediate,aroQ,4096964,4097398,435,1,0.046,0.027,0.016,0.003,0.057,0.03,0.013,0
R7A2020_19955,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,I,acetyl-CoA carboxylase biotin carboxyl carrier protein,K02160,acetyl-CoA carboxylase biotin carboxyl carrier protein,accB,I,"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",R7A2020_19955,4097425,4097883,459,1,0,0,0,0,0.003,0,0,0
R7A2020_19960,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,I,acetyl-CoA carboxylase biotin carboxylase subunit,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",accC,I,"An AccC homodimer forms the biotin carboxylase subunit of the acetyl CoA carboxylase, an enzyme that catalyzes the formation of malonyl-CoA, which in turn controls the rate of fatty acid metabolism",accC,4097894,4099237,1344,1,0.001,0,0,0.001,0,0,0,0
R7A2020_19965,NE,NE,NE,NE,NA,NA,leucyl/phenylalanyl-tRNA--protein transferase,K00684,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6],aat,O,"Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine",R7A2020_19965,4099250,4099867,618,1,0.137,0.063,0.044,0.032,0.18,0.099,0.046,0.046
R7A2020_19970,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_19970,4099878,4100264,387,-1,0.13,0.048,0.052,0.024,0.161,0.091,0.055,0.045
R7A2020_19975,NE,TB-GD,NE,GR-ES,NA,DUFF,DUF2155 domain-containing protein,NA,NA,NA,S,protein conserved in bacteria,R7A2020_19975,4100340,4100936,597,-1,0.065,0.022,0.026,0.008,0.053,0.012,0.018,0.012
R7A2020_19980,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,C,NADH:ubiquinone oxidoreductase subunit NDUFA12,K11352,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12,MA20_29090,C,"Provides the input to the respiratory chain from the NAD-linked dehydrogenases of the citric acid cycle. The complex couples the oxidation of NADH and the reduction of ubiquinone, to the generation of a proton gradient which is then used for ATP synthesis",R7A2020_19980,4101095,4101493,399,-1,0.032,0.015,0.006,0.003,0.023,0.012,0.003,0
R7A2020_19985,NE,NE,NE,NE,NA,NA,3-methyl-2-oxobutanoate hydroxymethyltransferase,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],panB,H,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",panB,4101724,4102584,861,1,0.176,0.087,0.056,0.03,0.198,0.087,0.078,0.051
R7A2020_19990,NE,NE,NE,NE,NA,NA,pantoate--beta-alanine ligase,K01918,pantoate--beta-alanine ligase [EC:6.3.2.1],panC,H,Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate,R7A2020_19990,4102581,4103432,852,1,0.157,0.068,0.062,0.014,0.159,0.086,0.041,0.029
R7A2020_19995,NE,NE,NE,NE,NA,NA,AIM24 family protein,NA,NA,NA,S,Mitochondrial biogenesis AIM24,R7A2020_19995,4103496,4104194,699,-1,0.128,0.062,0.029,0.02,0.163,0.074,0.044,0.044
R7A2020_20000,NE,NE,NE,NE,NA,NA,GNAT family N-acetyltransferase,K22441,diamine N-acetyltransferase [EC:2.3.1.57],NA,K,Acetyltransferase (GNAT) domain,R7A2020_20000,4104353,4104844,492,-1,0.119,0.048,0.043,0.024,0.153,0.064,0.05,0.041
R7A2020_20005,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,K02434,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7],gatB,J,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),gatB,4104849,4106348,1500,-1,0.001,0.001,0,0,0.001,0,0,0
R7A2020_20010,NE,NE,NE,NE,NA,NA,hypothetical protein,K09982,uncharacterized protein,yjhX,S,Belongs to the UPF0386 family,R7A2020_20010,4106493,4106750,258,1,0.104,0.059,0.041,0.014,0.113,0.032,0.054,0.036
R7A2020_20015,NE,NE,NE,NE,NA,NA,CBS domain-containing protein,NA,NA,MA20_31615,S,CBS domain,R7A2020_20015,4106800,4107231,432,-1,0.155,0.065,0.041,0.016,0.179,0.068,0.063,0.038
R7A2020_20020,NE,NE,NE,NE,NA,NA,rhomboid family intramembrane serine protease,NA,NA,MA20_31620,S,Rhomboid family,R7A2020_20020,4107319,4108077,759,-1,0.207,0.097,0.073,0.06,0.202,0.099,0.066,0.08
R7A2020_20025,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,S,PAS domain-containing protein,NA,NA,MA20_31625,S,PAS domain,R7A2020_20025,4108484,4109116,633,1,0.022,0.011,0.006,0.007,0.041,0.02,0.006,0.004
R7A2020_20030,NE,NE,NE,NE,NA,NA,PilZ domain-containing protein,NA,NA,MA20_31715,S,PilZ domain,R7A2020_20030,4109236,4109862,627,1,0.135,0.054,0.045,0.017,0.18,0.067,0.037,0.062
R7A2020_20035,NE,NE,NE,NE,NA,NA,transglutaminase-like cysteine peptidase,NA,NA,NA,S,Bacterial transglutaminase-like cysteine proteinase BTLCP,R7A2020_20035,4110167,4110775,609,1,0.129,0.04,0.05,0.027,0.133,0.046,0.056,0.037
R7A2020_20040,NE,NE,NE,NE,NA,NA,ankyrin repeat domain-containing protein,NA,NA,NA,S,COG0666 FOG Ankyrin repeat,R7A2020_20040,4111075,4111632,558,1,0.097,0.05,0.025,0.029,0.118,0.044,0.04,0.04
R7A2020_20045,NE,NE,NE,NE,NA,NA,gamma carbonic anhydrase family protein,K01726,gamma-carbonic anhydrase [EC:4.2.1.-],yrdA,S,isoleucine patch superfamily,R7A2020_20045,4111684,4112211,528,-1,0.173,0.073,0.044,0.047,0.178,0.082,0.049,0.06
R7A2020_20050,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_20050,4112230,4112565,336,-1,0.206,0.094,0.063,0.052,0.293,0.129,0.084,0.07
R7A2020_20055,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_20055,4112683,4113414,732,1,0.127,0.059,0.037,0.03,0.178,0.085,0.042,0.053
R7A2020_20060,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,DUFF,DUF3126 family protein,NA,NA,MA20_32250,S,Protein of unknown function (DUF3126),R7A2020_20060,4113463,4113666,204,-1,0.04,0.017,0.006,0.017,0.046,0.029,0.006,0.006
R7A2020_20065,GD,NE,TY-ES,GR-ES,NA,E,serine O-acetyltransferase,K00640,serine O-acetyltransferase [EC:2.3.1.30],cysE,E,serine acetyltransferase,cysE,4113819,4114667,849,-1,0.066,0.035,0.01,0.001,0.041,0.018,0.006,0
R7A2020_20070,NE,NE,NE,NE,NA,NA,glyoxalase,NA,NA,NA,E,glyoxalase bleomycin resistance protein dioxygenase,R7A2020_20070,4114928,4115572,645,-1,0.171,0.071,0.055,0.049,0.211,0.093,0.078,0.078
R7A2020_20075,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,S,Protein conserved in bacteria,R7A2020_20075,4115685,4116296,612,1,0.152,0.063,0.071,0.036,0.179,0.071,0.06,0.067
R7A2020_20080,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,NA,NA,MA20_32265,S,Alpha beta hydrolase,R7A2020_20080,4116467,4117234,768,-1,0.177,0.069,0.058,0.038,0.194,0.078,0.057,0.06
R7A2020_20085,NE,NE,NE,NE,NA,NA,DUF192 domain-containing protein,K09005,uncharacterized protein,NA,S,"Uncharacterized ACR, COG1430",R7A2020_20085,4117254,4117814,561,-1,0.126,0.038,0.046,0.023,0.113,0.05,0.023,0.031
R7A2020_20090,NE,NE,NE,NE,NA,NA,cold shock domain-containing protein,K03704,cold shock protein,cspB,K,Cold-shock,R7A2020_20090,4117839,4118435,597,-1,0.124,0.035,0.053,0.028,0.126,0.039,0.039,0.029
R7A2020_20095,NE,NE,NE,NE,NA,NA,lactoylglutathione lyase,K01759,lactoylglutathione lyase [EC:4.4.1.5],gloA,E,Glyoxalase bleomycin resistance protein dioxygenase,gloA,4118652,4119092,441,1,0.131,0.048,0.051,0.037,0.165,0.075,0.064,0.061
R7A2020_20100,NE,NE,NE,NE,NA,NA,DUF2218 domain-containing protein,K09956,uncharacterized protein,NA,S,protein conserved in bacteria,R7A2020_20100,4119224,4119517,294,1,0.159,0.052,0.068,0.044,0.143,0.056,0.068,0.056
R7A2020_20105,NE,NE,NE,NE,NA,NA,DUF1697 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF1697),R7A2020_20105,4119523,4120077,555,-1,0.184,0.068,0.057,0.051,0.186,0.078,0.074,0.063
R7A2020_20110,NE,NE,NE,NE,NA,NA,threonine ammonia-lyase IlvA,K01754,threonine dehydratase [EC:4.3.1.19],ilvA,E,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",ilvA,4120074,4121330,1257,-1,0.094,0.036,0.036,0.023,0.115,0.04,0.041,0.027
R7A2020_20115,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,NA,NA,NA,S,Alpha/beta hydrolase of unknown function (DUF900),R7A2020_20115,4121749,4122855,1107,1,0.126,0.047,0.056,0.031,0.132,0.053,0.039,0.038
R7A2020_20120,NE,NE,NE,NE,NA,NA,alpha/beta hydrolase,NA,NA,NA,S,Alpha/beta hydrolase of unknown function (DUF900),R7A2020_20120,4122997,4124160,1164,1,0.138,0.054,0.058,0.045,0.16,0.066,0.061,0.054
R7A2020_20125,NE,NE,NE,NE,NA,NA,adenine deaminase,K01486,adenine deaminase [EC:3.5.4.2],ade,F,Belongs to the metallo-dependent hydrolases superfamily. Adenine deaminase family,ade,4124186,4126003,1818,-1,0.178,0.076,0.069,0.05,0.204,0.089,0.068,0.063
