Supplementary Table 3. GI-GII ICESym Core Genes,,,,,,,,,,,,,,,,,,,,,,,,,,
R7AICESym.Loci,msi.locus*,Nonunique.Gene.name**,Annotations,Pangenome.Level,Number.isolates,Number.sequences,Avg.sequences.per.isolate,Genome.Fragment,Order.within.Fragment,Accessory.Fragment,Accessory.Order.with.Fragment,QC,Min.group.size.nuc,Max.group.size.nuc,AA,Avg.group.size.nuc,ATCC700743ICESym,MAFF303099ICESym,NZP2014ICESym,NZP2037ICESym,NZP2042ICESym,NZP2234ICESym,NZP2298ICESym,R7AICESym,R88BICESym,SU343ICESym
R7AICESym_00446,-,.,transposase,Core,10,10,1,1,1559,.,.,.,677,689,227,680,ATCC700743ICESym_00523,MAFF303099ICESym_00587,NZP2014ICESym_00458,NZP2037ICESym_00526,NZP2042ICESym_00468,NZP2234ICESym_00378,NZP2298ICESym_00432,R7AICESym_00446,R88BICESym_00446,SU343ICESym_00523
R7AICESym_00449,msi380,.,Di-c-type haem protein; MauG/cytochrome c peroxidase (IPR026259),Core,10,10,1,1,1557,.,.,.,1052,1085,353,1058,ATCC700743ICESym_00525,MAFF303099ICESym_00588,NZP2014ICESym_00460,NZP2037ICESym_00528,NZP2042ICESym_00470,NZP2234ICESym_00381,NZP2298ICESym_00435,R7AICESym_00449,R88BICESym_00449,SU343ICESym_00525
R7AICESym_00450,msi381,.,Lambda repressor-like; DNA-binding domain superfamily (IPR010982),Core,10,10,1,1,1556,.,.,.,260,260,87,260,ATCC700743ICESym_00526,MAFF303099ICESym_00589,NZP2014ICESym_00461,NZP2037ICESym_00529,NZP2042ICESym_00471,NZP2234ICESym_00382,NZP2298ICESym_00436,R7AICESym_00450,R88BICESym_00450,SU343ICESym_00526
R7AICESym_00451,msi382,.,Prokaryotic membrane lipoprotein lipid attachment site profile (PROKAR_LIPOPROTEIN PS51257) + Lar  restriction alleviation protein domain (Lar_restr_allev PF14354),Core,10,10,1,1,1555,.,.,.,173,302,66,198,ATCC700743ICESym_00527,MAFF303099ICESym_00590,NZP2014ICESym_00462,NZP2037ICESym_00530,NZP2042ICESym_00472,NZP2234ICESym_00383,NZP2298ICESym_00437,R7AICESym_00451,R88BICESym_00451,SU343ICESym_00527
R7AICESym_00453,msi383,noeJ,Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase (IPR006375),Core,10,10,1,1,1554,.,.,.,1415,1415,472,1415,ATCC700743ICESym_00529,MAFF303099ICESym_00592,NZP2014ICESym_00463,NZP2037ICESym_00532,NZP2042ICESym_00474,NZP2234ICESym_00384,NZP2298ICESym_00438,R7AICESym_00453,R88BICESym_00453,SU343ICESym_00529
R7AICESym_00454,msi384,noeK,phosphomannomutase,Core,10,10,1,1,1553,.,.,.,1391,1433,476,1428,ATCC700743ICESym_00530,MAFF303099ICESym_00593,NZP2014ICESym_00464,NZP2037ICESym_00533,NZP2042ICESym_00475,NZP2234ICESym_00385,NZP2298ICESym_00439,R7AICESym_00454,R88BICESym_00454,SU343ICESym_00530
R7AICESym_00456,msi386,queC,7-cyano-7-deazaguanine synthase QueC,Core,10,10,1,1,1544,.,.,.,698,698,233,698,ATCC700743ICESym_00550,MAFF303099ICESym_00596,NZP2014ICESym_00485,NZP2037ICESym_00552,NZP2042ICESym_00495,NZP2234ICESym_00387,NZP2298ICESym_00442,R7AICESym_00456,R88BICESym_00456,SU343ICESym_00550
R7AICESym_00457,msi387,queD2,6-pyruvoyl tetrahydrobiopterin synthase QueD,Core,10,10,1,1,1272,.,.,.,356,356,119,356,ATCC700743ICESym_00551,MAFF303099ICESym_00597,NZP2014ICESym_00486,NZP2037ICESym_00553,NZP2042ICESym_00496,NZP2234ICESym_00388,NZP2298ICESym_00443,R7AICESym_00457,R88BICESym_00457,SU343ICESym_00551
R7AICESym_00458,msi388,queE2,7-carboxy-7-deazaguanine synthase QueE,Core,10,10,1,1,1271,.,.,.,725,737,245,735,ATCC700743ICESym_00552,MAFF303099ICESym_00598,NZP2014ICESym_00487,NZP2037ICESym_00554,NZP2042ICESym_00497,NZP2234ICESym_00389,NZP2298ICESym_00444,R7AICESym_00458,R88BICESym_00458,SU343ICESym_00552
Thiamine riboswitch,-,TPP,Thiamine pyrophosphate sensing ribo-switch,Core,,,,,,,,,,,,,,,,,,,,,,
R7AICESym_00460,msi389,thiC,thiamin biosynthesis protein; ThiC,Core,10,10,1,1,1270,.,.,.,1835,1835,612,1835,ATCC700743ICESym_00554,MAFF303099ICESym_00600,NZP2014ICESym_00489,NZP2037ICESym_00556,NZP2042ICESym_00499,NZP2234ICESym_00391,NZP2298ICESym_00446,R7AICESym_00460,R88BICESym_00460,SU343ICESym_00554
R7AICESym_00461,msi390,thiO,glycine oxidase ThiO,Core,10,10,1,1,1269,.,.,.,1001,1001,334,1001,ATCC700743ICESym_00555,MAFF303099ICESym_00601,NZP2014ICESym_00490,NZP2037ICESym_00557,NZP2042ICESym_00500,NZP2234ICESym_00392,NZP2298ICESym_00447,R7AICESym_00461,R88BICESym_00461,SU343ICESym_00555
R7AICESym_00462,msi391,thiS,sulfur carrier protein ThiS,Core,10,10,1,1,1268,.,.,.,197,197,66,197,ATCC700743ICESym_00556,MAFF303099ICESym_00602,NZP2014ICESym_00491,NZP2037ICESym_00558,NZP2042ICESym_00501,NZP2234ICESym_00393,NZP2298ICESym_00448,R7AICESym_00462,R88BICESym_00462,SU343ICESym_00556
R7AICESym_00463,msi392,thiG,thiazole synthase,Core,10,10,1,1,1267,.,.,.,773,773,258,773,ATCC700743ICESym_00557,MAFF303099ICESym_00603,NZP2014ICESym_00492,NZP2037ICESym_00559,NZP2042ICESym_00502,NZP2234ICESym_00394,NZP2298ICESym_00449,R7AICESym_00463,R88BICESym_00463,SU343ICESym_00557
R7AICESym_00464,msi393,thiE,thiamine phosphate synthase,Core,10,10,1,1,1266,.,.,.,605,605,202,605,ATCC700743ICESym_00558,MAFF303099ICESym_00604,NZP2014ICESym_00493,NZP2037ICESym_00560,NZP2042ICESym_00503,NZP2234ICESym_00395,NZP2298ICESym_00450,R7AICESym_00464,R88BICESym_00464,SU343ICESym_00558
R7AICESym_00465,msi394,thiD,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,Core,10,10,1,1,1265,.,.,.,770,791,263,788,ATCC700743ICESym_00559,MAFF303099ICESym_00605,NZP2014ICESym_00494,NZP2037ICESym_00561,NZP2042ICESym_00504,NZP2234ICESym_00396,NZP2298ICESym_00451,R7AICESym_00465,R88BICESym_00465,SU343ICESym_00559
R7AICESym_00466,msi395,.,LLM class flavin-dependent oxidoreductase; Luciferase-like domain (IPR011251); GO:0016705 oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen,Core,10,10,1,1,1264,.,.,.,1022,1028,342,1026,ATCC700743ICESym_00560,MAFF303099ICESym_00606,NZP2014ICESym_00495,NZP2037ICESym_00562,NZP2042ICESym_00505,NZP2234ICESym_00397,NZP2298ICESym_00452,R7AICESym_00466,R88BICESym_00466,SU343ICESym_00560
R7AICESym_00467,msi396,.,Histidinol-phosphate aminotransferase family (IPR005861),Core,10,10,1,1,1263,.,.,.,1109,1109,370,1109,ATCC700743ICESym_00561,MAFF303099ICESym_00607,NZP2014ICESym_00496,NZP2037ICESym_00563,NZP2042ICESym_00506,NZP2234ICESym_00398,NZP2298ICESym_00453,R7AICESym_00467,R88BICESym_00467,SU343ICESym_00561
*msi loci in bold represent putative Loteae-ICESym conserved genes.,,,,,,,,,,,,,,,,,,,,,,,,,,
**underlined gene names indicated genes which have been previously characterized or have clearly annotated functions.,,,,,,,,,,,,,,,,,,,,,,,,,,
