# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* R7A2020_18155       K07395  163.13  361.2  1.2e-108 putative proteasome-type protease
* R7A2020_18160       K01593  376.70  596.1  3.7e-179 aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]
* R7A2020_18165       K02444  266.63  390.1  2.5e-117 DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
* R7A2020_18170       K00111  147.77  504.3  1.7e-151 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
* R7A2020_18175       K17324  373.50  544.3  3.4e-164 glycerol transport system ATP-binding protein
* R7A2020_18180       K17325  445.87  562.1  1.5e-169 glycerol transport system ATP-binding protein
* R7A2020_18185       K17322  347.43  520.3  4.1e-157 glycerol transport system permease protein
* R7A2020_18190       K17323  302.07  492.3  1.1e-148 glycerol transport system permease protein
* R7A2020_18200       K17321  631.13 1043.4         0 glycerol transport system substrate-binding protein
* R7A2020_18205       K00864  529.97  751.8  2.3e-226 glycerol kinase [EC:2.7.1.30]
* R7A2020_18230       K16568  108.80  147.3   2.5e-43 exopolysaccharide production protein ExoZ
* R7A2020_18255       K00697  595.47  611.4  5.5e-184 trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
* R7A2020_18270       K04096   27.03  398.7  1.5e-119 DNA processing protein
* R7A2020_18275       K08591   59.77  238.9   2.2e-71 acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
* R7A2020_18280       K01465  308.70  360.3  7.7e-108 dihydroorotase [EC:3.5.2.3]
* R7A2020_18285       K00609  222.30  459.1  3.7e-138 aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
* R7A2020_18290       K09456  450.17  832.9  6.5e-251 putative acyl-CoA dehydrogenase
* R7A2020_18305       K07447   40.07  165.5   5.7e-49 putative holliday junction resolvase [EC:3.1.-.-]
* R7A2020_18320       K02435   45.43  118.0   1.7e-34 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
* R7A2020_18325       K03829   98.20  175.9   3.9e-52 putative acetyltransferase [EC:2.3.1.-]
* R7A2020_18330       K02433  454.57  690.8  7.8e-208 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
* R7A2020_18330       K01426  221.77  353.4    1e-105 amidase [EC:3.5.1.4]
* R7A2020_18345       K01752   74.80  706.5  1.5e-212 L-serine dehydratase [EC:4.3.1.17]
* R7A2020_18355       K09539   65.03   79.0   1.6e-22 DnaJ homolog subfamily C member 19
* R7A2020_18360       K07258  268.27  271.0   8.1e-81 serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
* R7A2020_18370       K06891   44.53  146.3   4.1e-43 ATP-dependent Clp protease adaptor protein ClpS
* R7A2020_18375       K03694  930.73 1280.2         0 ATP-dependent Clp protease ATP-binding subunit ClpA
* R7A2020_18380       K02503   87.67  144.5   1.8e-42 histidine triad (HIT) family protein
* R7A2020_18385       K09919   68.33  580.1  1.2e-174 uncharacterized protein
* R7A2020_18390       K01126  134.60  141.5   1.3e-41 glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
* R7A2020_18415       K02967  141.50  412.9  4.8e-124 small subunit ribosomal protein S2
* R7A2020_18420       K02357  113.10  375.3  2.8e-112 elongation factor Ts
* R7A2020_18440       K09903   88.97  352.1    8e-106 uridylate kinase [EC:2.7.4.22]
* R7A2020_18445       K02838   30.10  219.2   2.3e-65 ribosome recycling factor
* R7A2020_18450       K00806  344.80  389.5  4.2e-117 undecaprenyl diphosphate synthase [EC:2.5.1.31]
* R7A2020_18455       K00981   48.73  186.6   2.6e-55 phosphatidate cytidylyltransferase [EC:2.7.7.41]
* R7A2020_18460       K11749   79.13  421.0  3.2e-126 regulator of sigma E protease [EC:3.4.24.-]
* R7A2020_18465       K07277  279.93  545.6    1e-163 outer membrane protein insertion porin family
* R7A2020_18470       K02536  183.43  371.5  1.9e-111 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
* R7A2020_18475       K02372   70.43  207.1   1.1e-61 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
* R7A2020_18480       K00677  166.53  339.5  6.8e-102 UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
* R7A2020_18485       K09949  146.23  291.9   1.6e-87 uncharacterized protein
* R7A2020_18490       K00748  167.67  394.7  2.9e-118 lipid-A-disaccharide synthase [EC:2.4.1.182]
* R7A2020_18495       K01647  366.80  492.4  5.7e-148 citrate synthase [EC:2.3.3.1]
* R7A2020_18500       K01885  305.20  582.8    5e-175 glutamyl-tRNA synthetase [EC:6.1.1.17]
* R7A2020_18505       K02238   56.93  243.8   1.4e-72 competence protein ComEC
* R7A2020_18510       K01356  129.17  246.6   1.4e-73 repressor LexA [EC:3.4.21.88]
* R7A2020_18515       K15735  161.67  270.2   4.1e-81 GntR family transcriptional regulator, carbon starvation induced regulator
* R7A2020_18520       K01989  224.70  260.6   1.1e-77 putative tryptophan/tyrosine transport system substrate-binding protein
* R7A2020_18525       K05833  170.23  338.9    5e-102 putative tryptophan/tyrosine transport system ATP-binding protein
* R7A2020_18530       K05832  232.90  341.2  3.7e-102 putative tryptophan/tyrosine transport system permease protein
* R7A2020_18535       K01556  189.40  489.6  5.8e-147 kynureninase [EC:3.7.1.3]
* R7A2020_18540       K00453   82.70  356.7    7e-107 tryptophan 2,3-dioxygenase [EC:1.13.11.11]
* R7A2020_18545       K08295  526.33  866.8  1.7e-261 2-aminobenzoate-CoA ligase [EC:6.2.1.32]
* R7A2020_18550       K01432  157.33  237.7   7.4e-71 arylformamidase [EC:3.5.1.9]
* R7A2020_18555       K03750  190.70  426.4  6.5e-128 molybdopterin molybdotransferase [EC:2.10.1.1]
* R7A2020_18560       K03637   48.03  274.6   2.9e-82 cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]
* R7A2020_18565       K01609  322.20  400.0  4.3e-120 indole-3-glycerol phosphate synthase [EC:4.1.1.48]
* R7A2020_18570       K00766  100.27  497.7  1.1e-149 anthranilate phosphoribosyltransferase [EC:2.4.2.18]
* R7A2020_18575       K03770  168.97  421.3  3.6e-126 peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
* R7A2020_18580       K01803   75.13  305.5   2.1e-91 triosephosphate isomerase (TIM) [EC:5.3.1.1]
* R7A2020_18585       K03075   24.73  135.1   8.2e-40 preprotein translocase subunit SecG
* R7A2020_18595       K01937  105.67  811.1  3.1e-244 CTP synthase [EC:6.3.4.2]
* R7A2020_18605       K03457  177.03  392.6  9.2e-118 nucleobase:cation symporter-1, NCS1 family
* R7A2020_18610       K03566  200.83  281.1   4.9e-84 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* R7A2020_18615       K01255  410.80  504.5  1.8e-151 leucyl aminopeptidase [EC:3.4.11.1]
* R7A2020_18620       K18457  386.37  474.3  6.5e-143 L-proline amide hydrolase [EC:3.5.1.101]
* R7A2020_18620       K01259  137.10  139.2   6.4e-41 proline iminopeptidase [EC:3.4.11.5]
* R7A2020_18625       K02035  240.93  271.3   6.2e-81 peptide/nickel transport system substrate-binding protein
* R7A2020_18630       K02034  190.03  292.7     2e-87 peptide/nickel transport system permease protein
* R7A2020_18635       K02033  209.53  333.4  8.7e-100 peptide/nickel transport system permease protein
* R7A2020_18640       K02031  418.00  519.0  9.6e-156 peptide/nickel transport system ATP-binding protein
* R7A2020_18645       K02032  384.37  485.7  8.2e-146 peptide/nickel transport system ATP-binding protein
* R7A2020_18670       K07126   61.23  122.0   1.2e-35 uncharacterized protein
* R7A2020_18700       K11703  198.87  244.0   1.1e-72 collagen beta-1,O-galactosyltransferase [EC:2.4.1.50]
* R7A2020_18700       K07270   64.10  110.2   4.6e-32 glycosyl transferase, family 25
* R7A2020_18725       K09136   67.90  170.8   1.7e-50 ribosomal protein S12 methylthiotransferase accessory factor
* R7A2020_18750       K05539  231.47  489.2    4e-147 tRNA-dihydrouridine synthase A [EC:1.-.-.-]
* R7A2020_18755       K06985   48.90  143.4   3.6e-42 aspartyl protease family protein
* R7A2020_18760       K06938   22.07   77.6   3.1e-22 uncharacterized protein
* R7A2020_18765       K00768  124.80  306.7   1.2e-91 nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
* R7A2020_18770       K07716  393.77  430.1  5.6e-129 two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]
* R7A2020_18775       K01174   66.93   86.4   6.6e-25 micrococcal nuclease [EC:3.1.31.1]
* R7A2020_18780       K00799   63.00   98.1   2.5e-28 glutathione S-transferase [EC:2.5.1.18]
* R7A2020_18785       K21929   39.23   42.3   2.6e-11 uracil-DNA glycosylase [EC:3.2.2.27]
* R7A2020_18790       K05800  196.37  265.8   4.7e-80 Lrp/AsnC family transcriptional regulator
* R7A2020_18790       K03719  132.03  188.1   6.7e-56 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* R7A2020_18795       K09950   58.20  120.4   3.4e-35 uncharacterized protein
* R7A2020_18810       K00042  390.17  421.4  9.3e-127 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
* R7A2020_18810       K00020  295.10  391.2  2.6e-117 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* R7A2020_18815       K02029  219.70  252.0   4.6e-75 polar amino acid transport system permease protein
* R7A2020_18825       K02030   84.53  175.9     4e-52 polar amino acid transport system substrate-binding protein
* R7A2020_18830       K03753   50.70  225.0   5.6e-67 molybdopterin-guanine dinucleotide biosynthesis adapter protein
* R7A2020_18835       K03752   91.50  198.7   4.1e-59 molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
* R7A2020_18855       K03639  137.77  434.6  1.8e-130 GTP 3',8-cyclase [EC:4.1.99.22]
* R7A2020_18865       K07006   72.17  133.0   4.3e-39 uncharacterized protein
* R7A2020_18885       K22041  186.43  212.4   2.2e-63 TetR/AcrR family transcriptional regulator, copper-responsive repressor
* R7A2020_18885       K16137  116.90  126.6   7.3e-37 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
* R7A2020_18890       K00059  270.10  283.1     1e-84 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* R7A2020_18895       K21470   54.17  497.4  2.9e-149 L,D-transpeptidase YcbB
* R7A2020_18920       K01091  118.63  204.0   1.5e-60 phosphoglycolate phosphatase [EC:3.1.3.18]
* R7A2020_18925       K01807   56.53  300.2   9.1e-90 ribose 5-phosphate isomerase A [EC:5.3.1.6]
* R7A2020_18930       K09924   45.00  139.6     7e-41 uncharacterized protein
* R7A2020_18935       K00383  554.70  635.8  2.5e-191 glutathione reductase (NADPH) [EC:1.8.1.7]
* R7A2020_18940       K06213  107.87  457.3  2.1e-137 magnesium transporter
* R7A2020_18960       K02035  240.93  245.6   3.5e-73 peptide/nickel transport system substrate-binding protein
* R7A2020_18970       K11940   67.10  182.4   7.1e-55 heat shock protein HspQ
* R7A2020_18990       K01004  160.90  339.2    4e-102 phosphatidylcholine synthase [EC:2.7.8.24]
* R7A2020_18995       K00344  277.73  406.3  6.6e-122 NADPH:quinone reductase [EC:1.6.5.5]
* R7A2020_19000       K23537  586.30  726.1  2.1e-218 general nucleoside transport system ATP-binding protein
* R7A2020_19000       K10822  138.23  156.0   3.5e-46 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_19005       K23535  248.07  386.5  6.3e-116 general nucleoside transport system permease protein
* R7A2020_19010       K23536  179.73  380.0  3.3e-114 general nucleoside transport system permease protein
* R7A2020_19015       K07335  152.40  287.7   6.4e-86 basic membrane protein A and related proteins
* R7A2020_19020       K14441  431.93  654.9  5.1e-197 ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
* R7A2020_19060       K03642   44.10  254.7   7.9e-76 rare lipoprotein A
* R7A2020_19065       K07258  268.27  306.3   1.5e-91 serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
* R7A2020_19070       K00943   94.57  242.0   3.6e-72 dTMP kinase [EC:2.7.4.9]
* R7A2020_19075       K02341  236.00  245.9   3.8e-73 DNA polymerase III subunit delta' [EC:2.7.7.7]
* R7A2020_19090       K01874  208.13  665.4  4.3e-200 methionyl-tRNA synthetase [EC:6.1.1.10]
* R7A2020_19095       K03424   89.93  309.7   1.2e-92 TatD DNase family protein [EC:3.1.21.-]
* R7A2020_19100       K06167  145.43  313.4   5.3e-94 phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]
* R7A2020_19110       K19784  111.70  208.9     3e-62 chromate reductase, NAD(P)H dehydrogenase (quinone)
* R7A2020_19115       K01480  191.47  219.5   2.5e-65 agmatinase [EC:3.5.3.11]
* R7A2020_19120       K00286   91.60   96.1   6.7e-28 pyrroline-5-carboxylate reductase [EC:1.5.1.2]
* R7A2020_19125       K01785   42.57   47.0   7.1e-13 aldose 1-epimerase [EC:5.1.3.3]
* R7A2020_19130       K06890  151.20  289.0   1.4e-86 uncharacterized protein
* R7A2020_19140       K03088   66.33  132.1   1.1e-38 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_19150       K00813  524.47  560.5  6.4e-169 aspartate aminotransferase [EC:2.6.1.1]
* R7A2020_19155       K04765  370.23  417.9    1e-125 nucleoside triphosphate diphosphatase [EC:3.6.1.9]
* R7A2020_19160       K03665  183.83  537.4  2.1e-161 GTPase
* R7A2020_19165       K03666   20.90  146.3   2.2e-43 host factor-I protein
* R7A2020_19170       K00824  283.77  390.0  2.3e-117 D-alanine transaminase [EC:2.6.1.21]
* R7A2020_19175       K13599  531.47  626.4    9e-189 two-component system, NtrC family, nitrogen regulation response regulator NtrX
* R7A2020_19180       K13598  279.83  637.5  1.1e-191 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
* R7A2020_19185       K07712  577.40  651.1  4.6e-196 two-component system, NtrC family, nitrogen regulation response regulator GlnG
* R7A2020_19190       K07708  272.93  421.6    1e-126 two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]
* R7A2020_19195       K05540  282.63  402.2  9.5e-121 tRNA-dihydrouridine synthase B [EC:1.-.-.-]
* R7A2020_19200       K12506  342.17  537.2    1e-161 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
* R7A2020_19200       K00991  249.57  252.8   1.6e-75 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
* R7A2020_19205       K03743  206.80  225.1   4.4e-67 nicotinamide-nucleotide amidase [EC:3.5.1.42]
* R7A2020_19210       K18588   30.10  161.7     1e-47 coenzyme Q-binding protein COQ10
* R7A2020_19215       K03644  112.63  487.3  1.7e-146 lipoyl synthase [EC:2.8.1.8]
* R7A2020_19225       K00382  479.23  634.1  1.2e-190 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* R7A2020_19240       K00627  454.90  528.7  8.5e-159 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
* R7A2020_19245       K00162  451.07  593.0  1.5e-178 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
* R7A2020_19250       K00161  342.33  538.3  5.5e-162 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
* R7A2020_19270       K01689   60.73  695.7    2e-209 enolase [EC:4.2.1.11]
* R7A2020_19280       K09165   32.13   90.1     5e-26 dodecin
* R7A2020_19285       K01627  214.23  448.8  5.1e-135 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
* R7A2020_19300       K00574  127.40  484.4  1.5e-145 cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
* R7A2020_19310       K01119  350.70  918.0  2.1e-276 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
* R7A2020_19315       K03885  221.83  530.0  2.3e-159 NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2]
* R7A2020_19320       K01934   27.80  148.0   1.5e-43 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
* R7A2020_19325       K03719  132.03  197.7   7.4e-59 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* R7A2020_19330       K00259  293.70  569.2  1.4e-171 alanine dehydrogenase [EC:1.4.1.1]
* R7A2020_19335       K16079   84.23  134.8   1.8e-39 outer membrane immunogenic protein
* R7A2020_19355       K01011  198.90  339.4  1.2e-101 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
* R7A2020_19360       K07050  201.97  222.3   4.1e-66 misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
* R7A2020_19365       K01738  419.23  420.5    3e-126 cysteine synthase [EC:2.5.1.47]
* R7A2020_19380       K11927  547.67  598.1    5e-180 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
* R7A2020_19385       K01966  825.63  924.8  7.8e-279 propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
* R7A2020_19395       K23997  295.37  463.5  3.5e-139 ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]
* R7A2020_19400       K04751  124.27  203.5   6.6e-61 nitrogen regulatory protein P-II 1
* R7A2020_19405       K01915   40.23  398.4  1.9e-119 glutamine synthetase [EC:6.3.1.2]
* R7A2020_19415       K01915   40.23  318.2   3.6e-95 glutamine synthetase [EC:6.3.1.2]
* R7A2020_19430       K07556  112.37  211.1   7.4e-63 ATP synthase mitochondrial F1 complex assembly factor 2
* R7A2020_19440       K06179  327.40  444.1  2.3e-133 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
* R7A2020_19445       K06199   27.60   85.3     1e-24 fluoride exporter
* R7A2020_19465       K07478  192.17  615.4  4.7e-185 putative ATPase
* R7A2020_19470       K04771  279.63  307.3   7.6e-92 serine protease Do [EC:3.4.21.107]
* R7A2020_19475       K02879   41.97  205.1   7.5e-61 large subunit ribosomal protein L17
* R7A2020_19480       K03040   60.57  455.7  5.3e-137 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
* R7A2020_19485       K02948   99.43  193.4   1.9e-57 small subunit ribosomal protein S11
* R7A2020_19490       K02952  120.63  206.9   1.2e-61 small subunit ribosomal protein S13
* R7A2020_19495       K00939  164.70  230.5   1.3e-68 adenylate kinase [EC:2.7.4.3]
* R7A2020_19500       K03076  218.03  602.5    2e-181 preprotein translocase subunit SecY
* R7A2020_19505       K02876   48.17  211.2     1e-62 large subunit ribosomal protein L15
* R7A2020_19510       K02907   41.13   67.0   6.1e-19 large subunit ribosomal protein L30
* R7A2020_19515       K02988  142.87  246.1     2e-73 small subunit ribosomal protein S5
* R7A2020_19520       K02881   54.93  156.4   3.5e-46 large subunit ribosomal protein L18
* R7A2020_19525       K02933  116.60  264.3   5.5e-79 large subunit ribosomal protein L6
* R7A2020_19530       K02994   88.87  180.6   6.3e-54 small subunit ribosomal protein S8
* R7A2020_19535       K02954   23.07  120.3   2.8e-35 small subunit ribosomal protein S14
* R7A2020_19540       K02931  104.67  344.5  1.6e-103 large subunit ribosomal protein L5
* R7A2020_19545       K02895   39.20  133.3   4.4e-39 large subunit ribosomal protein L24
* R7A2020_19550       K02874  102.60  226.5   1.3e-67 large subunit ribosomal protein L14
* R7A2020_19555       K02961   89.00  113.3   4.6e-33 small subunit ribosomal protein S17
* R7A2020_19560       K02904   55.17   89.0   1.1e-25 large subunit ribosomal protein L29
* R7A2020_19565       K02878   93.00  224.3   6.4e-67 large subunit ribosomal protein L16
* R7A2020_19570       K02982  106.17  384.9    1e-115 small subunit ribosomal protein S3
* R7A2020_19575       K02890   78.50  161.6     7e-48 large subunit ribosomal protein L22
* R7A2020_19580       K02965  105.67  155.0   7.5e-46 small subunit ribosomal protein S19
* R7A2020_19585       K02886  162.67  376.9  5.5e-113 large subunit ribosomal protein L2
* R7A2020_19590       K02892   50.47   91.7   2.2e-26 large subunit ribosomal protein L23
* R7A2020_19595       K02926   93.30  288.3   3.3e-86 large subunit ribosomal protein L4
* R7A2020_19600       K02906  121.37  377.3  4.7e-113 large subunit ribosomal protein L3
* R7A2020_19605       K02946   67.47  166.8   2.8e-49 small subunit ribosomal protein S10
* R7A2020_19610       K02358  362.53  764.1  1.9e-230 elongation factor Tu
* R7A2020_19615       K02355  520.33 1118.3         0 elongation factor G
* R7A2020_19620       K02992  108.97  242.4   1.3e-72 small subunit ribosomal protein S7
* R7A2020_19625       K02950   75.43  237.5   5.8e-71 small subunit ribosomal protein S12
* R7A2020_19635       K00035  294.20  467.5  6.6e-141 D-galactose 1-dehydrogenase [EC:1.1.1.48]
* R7A2020_19645       K00588  108.00  157.7   1.1e-46 caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
* R7A2020_19650       K03046  613.60 2202.2         0 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
* R7A2020_19655       K03043  631.40 1805.5         0 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* R7A2020_19660       K02935   26.67  185.0   6.5e-55 large subunit ribosomal protein L7/L12
* R7A2020_19665       K02864   52.07  204.5   1.1e-60 large subunit ribosomal protein L10
* R7A2020_19670       K02863   97.10  323.8   4.5e-97 large subunit ribosomal protein L1
* R7A2020_19675       K02867   71.67  251.2   4.4e-75 large subunit ribosomal protein L11
* R7A2020_19680       K02601   99.40  218.8   3.1e-65 transcription termination/antitermination protein NusG
* R7A2020_19685       K03073   22.63   81.7     2e-23 preprotein translocase subunit SecE
* R7A2020_19705       K02358  362.53  764.1  1.9e-230 elongation factor Tu
* R7A2020_19710       K15270  177.50  182.8   2.8e-54 S-adenosylmethionine uptake transporter
* R7A2020_19740       K03218  212.53  271.5   3.3e-81 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* R7A2020_19745       K00042  390.17  439.3  3.4e-132 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
* R7A2020_19745       K00020  295.10  346.0  1.3e-103 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* R7A2020_19750       K22131  375.80  380.6  1.8e-114 2-dehydrotetronate isomerase [EC:5.3.1.35]
* R7A2020_19750       K01816  153.80  376.1  7.5e-113 hydroxypyruvate isomerase [EC:5.3.1.22]
* R7A2020_19755       K01608  692.17 1101.5         0 tartronate-semialdehyde synthase [EC:4.1.1.47]
* R7A2020_19755       K01652  458.50  514.2  1.8e-154 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* R7A2020_19760       K13641  266.30  303.7   6.5e-91 IclR family transcriptional regulator, acetate operon repressor
* R7A2020_19795       K06988  153.00  238.7   2.8e-71 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
* R7A2020_19810       K14731  232.23  332.2   1.8e-99 epsilon-lactone hydrolase [EC:3.1.1.83]
* R7A2020_19815       K19267  133.97  184.2   1.4e-54 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
* R7A2020_19840       K02054  284.80  295.4   2.3e-88 putative spermidine/putrescine transport system permease protein
* R7A2020_19840       K11071  283.03  286.9     8e-86 spermidine/putrescine transport system permease protein
* R7A2020_19850       K10822  138.23  146.0   3.9e-43 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_19865       K01426  221.77  318.9   2.8e-95 amidase [EC:3.5.1.4]
* R7A2020_19880       K00858   37.73  122.7   5.7e-36 NAD+ kinase [EC:2.7.1.23]
* R7A2020_19885       K11927  547.67  559.7  2.2e-168 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
* R7A2020_19895       K03286  118.17  139.4   6.7e-41 OmpA-OmpF porin, OOP family
* R7A2020_19895       K04062   41.33   44.3   5.7e-12 osmotically inducible lipoprotein OsmB
* R7A2020_19910       K02836  376.80  554.2  1.2e-166 peptide chain release factor 2
* R7A2020_19915       K05366  621.87  821.4  2.9e-247 penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
* R7A2020_19920       K01448   35.30  203.0   2.8e-60 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* R7A2020_19925       K08300  645.17  848.8    2e-255 ribonuclease E [EC:3.1.26.12]
* R7A2020_19930       K01425  117.43  417.2  4.3e-125 glutaminase [EC:3.5.1.2]
* R7A2020_19950       K03786  144.97  240.6   4.5e-72 3-dehydroquinate dehydratase II [EC:4.2.1.10]
* R7A2020_19955       K02160   88.40  169.7   2.7e-50 acetyl-CoA carboxylase biotin carboxyl carrier protein
* R7A2020_19960       K01961  734.23  821.6  1.6e-247 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
* R7A2020_19965       K00684  146.60  307.0   8.5e-92 leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
* R7A2020_19980       K11352   84.33   85.7   1.3e-24 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
* R7A2020_19985       K00606   78.50  375.6  1.3e-112 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
* R7A2020_19990       K01918  126.00  391.5  2.1e-117 pantoate--beta-alanine ligase [EC:6.3.2.1]
* R7A2020_20000       K22441   88.37   89.1   1.1e-25 diamine N-acetyltransferase [EC:2.3.1.57]
* R7A2020_20005       K02434  429.97  748.8  2.7e-225 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* R7A2020_20010       K09982   81.80  109.4   2.2e-32 uncharacterized protein
* R7A2020_20045       K01726  186.43  190.5   1.6e-56 gamma-carbonic anhydrase [EC:4.2.1.-]
* R7A2020_20065       K00640   91.33  282.8   1.1e-84 serine O-acetyltransferase [EC:2.3.1.30]
* R7A2020_20085       K09005   27.43  137.1   2.8e-40 uncharacterized protein
* R7A2020_20090       K03704   82.63  153.1   3.1e-45 cold shock protein
* R7A2020_20095       K01759   77.40  168.4   7.9e-50 lactoylglutathione lyase [EC:4.4.1.5]
* R7A2020_20100       K09956   63.87  142.0   5.5e-42 uncharacterized protein
* R7A2020_20110       K01754  261.73  395.6  1.7e-118 threonine dehydratase [EC:4.3.1.19]
* R7A2020_20125       K01486  354.70  749.9  6.7e-226 adenine deaminase [EC:3.5.4.2]
* R7A2020_20135       K16079   84.23  182.9   4.4e-54 outer membrane immunogenic protein
* R7A2020_20155       K01745  423.07  551.4  1.1e-165 histidine ammonia-lyase [EC:4.3.1.3]
* R7A2020_20160       K12945  204.37  265.6   1.2e-79 GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]
* R7A2020_20205       K00769  108.53  278.6   7.8e-84 xanthine phosphoribosyltransferase [EC:2.4.2.22]
* R7A2020_20210       K07766   98.63  106.7     5e-31 diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
* R7A2020_20210       K07220   56.20   98.1   1.9e-28 uncharacterized protein
* R7A2020_20220       K00525  194.97  689.8  1.5e-207 ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
* R7A2020_20225       K16568  108.80  156.7   3.5e-46 exopolysaccharide production protein ExoZ
* R7A2020_20250       K03566  200.83  301.0   4.4e-90 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* R7A2020_20265       K07273   42.80  279.1   1.9e-83 lysozyme
