locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym,NSTB_ii,NSGR_ii,NSTY_ii,WTTB_ii,WTGR_ii,WTTY_ii,TY_state,GR_state,TB_state,NS_ii,WT_ii,ES_state,ICE_state
R7A2020_14510,NA,DUF126 domain-containing protein,K09128,uncharacterized protein,NA,S,Protein of unknown function DUF126,R7A2020_14510,2944399,2944839,441,1,FALSE,0.045333333,0.037333333,0.045333333,0.053333333,0.024,0.066666667,NE,NE,NE,0.114666667,0.144,NE,NA
R7A2020_14515,NA,Gfo/Idh/MocA family oxidoreductase,NA,NA,NA,S,"Oxidoreductase family, NAD-binding Rossmann fold",R7A2020_14515,2944957,2946045,1089,1,FALSE,0.059331176,0.050701187,0.046386192,0.064724919,0.033441208,0.066882416,NE,NE,NE,0.154261057,0.160733549,NE,NA
R7A2020_14520,NA,sugar phosphate isomerase/epimerase,NA,NA,NA,G,Xylose isomerase-like TIM barrel,R7A2020_14520,2946106,2947020,915,1,FALSE,0.038510911,0.052631579,0.068035944,0.051347882,0.029525032,0.044929397,NE,NE,NE,0.14762516,0.118100128,NE,NA
R7A2020_14525,NA,fatty acid desaturase family protein,NA,NA,NA,I,fatty acid desaturase,R7A2020_14525,2947039,2948133,1095,1,FALSE,0.083690987,0.055793991,0.052575107,0.070815451,0.035407725,0.064377682,NE,NE,NE,0.170600858,0.166309013,NE,NA
R7A2020_14530,NA,Rieske 2Fe-2S domain-containing protein,K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,mocE,P,Rieske-like [2Fe-2S] domain,R7A2020_14530,2948161,2948472,312,1,FALSE,0.030075188,0.018796992,0.030075188,0.041353383,0.015037594,0.060150376,NE,NE,NE,0.082706767,0.157894737,NE,NA
R7A2020_14535,NA,3-methyl-2-oxobutanoate hydroxymethyltransferase,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],NA,H,Ketopantoate hydroxymethyltransferase,R7A2020_14535,2948513,2949316,804,1,FALSE,0.042397661,0.032163743,0.048245614,0.064327485,0.036549708,0.048245614,NE,NE,NE,0.115497076,0.15497076,NE,NA
R7A2020_14540,NA,histidine ammonia-lyase,K01745,histidine ammonia-lyase [EC:4.3.1.3],NA,E,Histidine ammonia-lyase,R7A2020_14540,2949317,2950825,1509,-1,FALSE,0.05529595,0.035825545,0.037383178,0.063862928,0.031931464,0.034267913,NE,NE,NE,0.134735202,0.140965732,NE,NA
R7A2020_14545,NA,ornithine cyclodeaminase family protein,NA,NA,arcB,E,ornithine cyclodeaminase mu-crystallin,R7A2020_14545,2950822,2951823,1002,-1,FALSE,0.052816901,0.046948357,0.044600939,0.066901408,0.026995305,0.057511737,NE,NE,NE,0.157276995,0.165492958,NE,NA
R7A2020_14550,NA,DHA2 family efflux MFS transporter permease subunit,NA,NA,MA20_27515,EGP,Major facilitator superfamily,R7A2020_14550,2951943,2953376,1434,1,FALSE,0.068852459,0.060655738,0.054098361,0.076229508,0.044262295,0.056557377,NE,NE,NE,0.168852459,0.172131148,NE,NA
R7A2020_14555,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_14555,2953649,2954635,987,1,FALSE,0.064285714,0.057142857,0.066666667,0.05,0.044047619,0.066666667,NE,NE,NE,0.169047619,0.157142857,NE,NA
R7A2020_14560,NA,sugar ABC transporter substrate-binding protein,NA,NA,NA,G,Periplasmic binding protein domain,R7A2020_14560,2954722,2955747,1026,1,FALSE,0.066437572,0.052691867,0.051546392,0.058419244,0.035509737,0.036655212,NE,NE,NE,0.176403207,0.136311569,NE,NA
R7A2020_14565,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_14565,2955823,2957946,2124,1,FALSE,0.0393134,0.03765227,0.042635659,0.044850498,0.027131783,0.044850498,NE,NE,NE,0.123477298,0.127906977,NE,NA
R7A2020_14570,NA,hypothetical protein,NA,NA,NA,G,PFAM SMP-30 Gluconolaconase,R7A2020_14570,2957943,2958986,1044,1,FALSE,0.05518018,0.042792793,0.039414414,0.05518018,0.031531532,0.045045045,NE,NE,NE,0.148648649,0.146396396,NE,NA
R7A2020_14575,NA,sugar ABC transporter ATP-binding protein,K02056,simple sugar transport system ATP-binding protein [EC:7.5.2.-],NA,G,ABC transporter,R7A2020_14575,2958986,2960482,1497,1,FALSE,0.043956044,0.041601256,0.038461538,0.054160126,0.033751962,0.031397174,NE,NE,NE,0.119309262,0.126373626,NE,NA
R7A2020_14580,NA,carboxymuconolactone decarboxylase family protein,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],NA,S,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity,R7A2020_14580,2960726,2961133,408,1,FALSE,0.051724138,0.034482759,0.043103448,0.051724138,0.028735632,0.048850575,NE,NE,NE,0.114942529,0.120689655,NE,NA
R7A2020_14585,NA,amidohydrolase family protein,K07046,L-fuconolactonase [EC:3.1.1.-],NA,S,metal-dependent hydrolase of the TIM-barrel fold,R7A2020_14585,2961142,2962029,888,-1,FALSE,0.047619048,0.051587302,0.044973545,0.071428571,0.026455026,0.055555556,NE,NE,NE,0.138888889,0.161375661,NE,NA
R7A2020_14590,NA,VWA domain-containing protein,K07161,uncharacterized protein,NA,S,Protein containing von Willebrand factor type A (VWA) domain,R7A2020_14590,2962029,2963165,1137,-1,FALSE,0.063016529,0.025826446,0.044421488,0.059917355,0.025826446,0.040289256,NE,NE,NE,0.145661157,0.135330579,NE,NA
R7A2020_14595,NA,MoxR family ATPase,NA,NA,MA20_13975,S,AAA domain (dynein-related subfamily),R7A2020_14595,2963365,2964246,882,-1,FALSE,0.052,0.037333333,0.038666667,0.066666667,0.029333333,0.034666667,NE,NE,NE,0.116,0.130666667,NE,NA
R7A2020_14600,NA,xanthine dehydrogenase family protein molybdopterin-binding subunit,NA,NA,MA20_13970,C,aldehyde oxidase and xanthine dehydrogenase molybdopterin binding,R7A2020_14600,2964248,2965252,1005,-1,FALSE,0.060818713,0.050292398,0.060818713,0.057309942,0.031578947,0.039766082,NE,NE,NE,0.160233918,0.12748538,NE,NA
R7A2020_14605,NA,xanthine dehydrogenase family protein molybdopterin-binding subunit,NA,NA,MA20_13965,C,Aldehyde oxidase and xanthine dehydrogenase a b hammerhead,R7A2020_14605,2965254,2966621,1368,-1,FALSE,0.060996564,0.049828179,0.054982818,0.067869416,0.033505155,0.046391753,NE,NE,NE,0.152061856,0.154639175,NE,NA
R7A2020_14610,NA,(2Fe-2S)-binding protein,NA,NA,hcrC,C,[2Fe-2S] binding domain,R7A2020_14610,2966747,2967229,483,-1,FALSE,0.058394161,0.03163017,0.02919708,0.04622871,0.0243309,0.065693431,NE,NE,NE,0.116788321,0.141119221,NE,NA
R7A2020_14615,NA,xanthine dehydrogenase family protein subunit M,NA,NA,NA,C,"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM",R7A2020_14615,2967290,2968084,795,-1,FALSE,0.070901034,0.05465288,0.035450517,0.05465288,0.026587888,0.05465288,NE,NE,NE,0.150664697,0.138847858,NE,NA
R7A2020_14620,NA,SRPBCC family protein,NA,NA,NA,S,Polyketide cyclase / dehydrase and lipid transport,R7A2020_14620,2968100,2968543,444,-1,FALSE,0.031746032,0.021164021,0.023809524,0.037037037,0.021164021,0.029100529,NE,NE,NE,0.097883598,0.097883598,NE,NA
R7A2020_14625,NA,helix-turn-helix transcriptional regulator,NA,NA,NA,K,Transcriptional regulator,R7A2020_14625,2968663,2969490,828,-1,FALSE,0.04822695,0.035460993,0.04822695,0.053900709,0.035460993,0.038297872,NE,NE,NE,0.121985816,0.130496454,NE,NA
R7A2020_14630,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_14630,2969696,2970694,999,-1,FALSE,0.063454759,0.043478261,0.048178613,0.054054054,0.042303173,0.059929495,NE,NE,NE,0.151586369,0.146886016,NE,NA
R7A2020_14635,NA,sugar ABC transporter ATP-binding protein,K10822,nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2],NA,G,Predicted ATPase of the ABC class,R7A2020_14635,2970750,2971493,744,-1,FALSE,0.056872038,0.061611374,0.058451817,0.063191153,0.025276461,0.052132701,NE,NE,NE,0.156398104,0.14849921,NE,NA
R7A2020_14640,NA,sugar ABC transporter substrate-binding protein,NA,NA,NA,G,Periplasmic binding protein domain,R7A2020_14640,2971943,2972932,990,1,FALSE,0.058194774,0.049881235,0.041567696,0.062945368,0.036817102,0.053444181,NE,NE,NE,0.137767221,0.157957245,NE,NA
R7A2020_14645,NA,FadR family transcriptional regulator,NA,NA,NA,K,Transcriptional,R7A2020_14645,2973119,2973901,783,1,FALSE,0.06006006,0.042042042,0.06006006,0.052552553,0.03003003,0.045045045,NE,NE,NE,0.157657658,0.123123123,NE,NA
R7A2020_14650,NA,NAD(P)-dependent oxidoreductase,NA,NA,hopR,I,3-hydroxyisobutyrate dehydrogenase,R7A2020_14650,2974070,2975008,939,-1,FALSE,0.04125,0.04125,0.05875,0.0475,0.025,0.0575,NE,NE,NE,0.145,0.13875,NE,NA
R7A2020_14655,NA,NAD(P)-dependent oxidoreductase,NA,NA,NA,M,Male sterility protein,R7A2020_14655,2975127,2976017,891,1,FALSE,0.051451187,0.046174142,0.060686016,0.050131926,0.035620053,0.067282322,NE,NE,NE,0.147757256,0.143799472,NE,NA
R7A2020_14660,NA,FadR family transcriptional regulator,K19776,"GntR family transcriptional regulator, galactonate operon transcriptional repressor",NA,K,FCD,R7A2020_14660,2976125,2976901,777,1,FALSE,0.057401813,0.064954683,0.054380665,0.058912387,0.040785498,0.052870091,NE,NE,NE,0.148036254,0.149546828,NE,NA
R7A2020_14665,NA,DUF3175 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF3175),R7A2020_14665,2976906,2977196,291,-1,FALSE,0.064516129,0.040322581,0.048387097,0.056451613,0.036290323,0.060483871,NE,NE,NE,0.133064516,0.153225806,NE,NA
R7A2020_14670,NA,MFS transporter,NA,NA,NA,P,Uncharacterised MFS-type transporter YbfB,R7A2020_14670,2977375,2978604,1230,1,FALSE,0.059273423,0.045889101,0.044933078,0.057361377,0.031548757,0.04875717,NE,NE,NE,0.149139579,0.137667304,NE,NA
R7A2020_14675,NA,LacI family DNA-binding transcriptional regulator,K06145,"LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor",gntR,K,helix_turn _helix lactose operon repressor,R7A2020_14675,2978745,2979773,1029,1,FALSE,0.046803653,0.039954338,0.04109589,0.044520548,0.033105023,0.046803653,NE,NE,NE,0.128995434,0.118721461,NE,NA
R7A2020_14680,NA,ABC transporter substrate-binding protein,NA,NA,NA,G,ribose ABC transporter,R7A2020_14680,2980081,2981208,1128,1,FALSE,0.041666667,0.047916667,0.039583333,0.05625,0.032291667,0.047916667,NE,NE,NE,0.1375,0.139583333,NE,NA
R7A2020_14685,NA,sugar ABC transporter ATP-binding protein,K02056,simple sugar transport system ATP-binding protein [EC:7.5.2.-],rbsA1,G,Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system,R7A2020_14685,2981284,2982831,1548,1,FALSE,0.054669704,0.045558087,0.053151101,0.07365224,0.045558087,0.044798785,NE,NE,NE,0.151100987,0.151860289,NE,NA
R7A2020_14690,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_14690,2982828,2983808,981,1,FALSE,0.044364508,0.041966427,0.057553957,0.051558753,0.045563549,0.061151079,NE,NE,NE,0.130695444,0.149880096,NE,NA
R7A2020_14695,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_14695,2983805,2984791,987,1,FALSE,0.072619048,0.055952381,0.046428571,0.048809524,0.029761905,0.054761905,NE,NE,NE,0.155952381,0.141666667,NE,NA
R7A2020_14700,G,gluconokinase,K00851,gluconokinase [EC:2.7.1.12],gntK,G,"TIGRFAM carbohydrate kinase, thermoresistant glucokinase family",R7A2020_14700,2984907,2985455,549,1,FALSE,0.025641026,0.014957265,0.017094017,0.042735043,0.006410256,0.02991453,NE,GR-ES,NE,0.083333333,0.076923077,NE,NA
R7A2020_14705,NA,Rrf2 family transcriptional regulator,NA,NA,cymR,K,transcriptional regulator,R7A2020_14705,2985539,2985988,450,-1,FALSE,0.033942559,0.018276762,0.039164491,0.033942559,0.018276762,0.052219321,NE,NE,NE,0.109660574,0.114882507,NE,NA
R7A2020_14710,NA,sulfate ABC transporter substrate-binding protein,NA,NA,cysP,P,Bacterial extracellular solute-binding protein,R7A2020_14710,2986237,2987223,987,-1,FALSE,0.083333333,0.055952381,0.05,0.067857143,0.039285714,0.041666667,NE,NE,NE,0.182142857,0.146428571,NE,NA
R7A2020_14715,S,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,K18829,antitoxin VapB,ntrP,S,SpoVT / AbrB like domain,R7A2020_14715,2987448,2987723,276,1,FALSE,0.008474576,0.016949153,0.029661017,0.025423729,0.004237288,0.012711864,TY-GD,GR-GD,TB-GD,0.06779661,0.050847458,NE,NA
R7A2020_14720,NA,type II toxin-antitoxin system VapC family toxin,K18828,tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-],vapC,S,Toxic component of a toxin-antitoxin (TA) module. An RNase,R7A2020_14720,2987723,2988121,399,1,FALSE,0.046920821,0.04398827,0.061583578,0.058651026,0.035190616,0.035190616,NE,NE,NE,0.149560117,0.120234604,NE,NA
R7A2020_14725,P,sulfate/molybdate ABC transporter ATP-binding protein,K02045,sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3],cysA,P,Part of the ABC transporter complex CysAWTP involved in sulfate thiosulfate import. Responsible for energy coupling to the transport system,R7A2020_14725,2988137,2989177,1041,-1,FALSE,0.06440678,0.006779661,0.062146893,0.062146893,0.025988701,0.048587571,NE,NS-GR-ES,NE,0.145762712,0.143502825,NE,NA
R7A2020_14730,P,sulfate ABC transporter permease subunit CysW,K02047,sulfate/thiosulfate transport system permease protein,cysW,P,ABC transporter,cysW,2989190,2990074,885,-1,FALSE,0.08499336,0.006640106,0.070385126,0.08499336,0.034528552,0.065073041,NE,NS-GR-ES,NE,0.163346614,0.175298805,NE,NA
R7A2020_14735,O,sulfate ABC transporter permease subunit CysT,K02046,sulfate/thiosulfate transport system permease protein,cysT,O,TIGRFAM sulfate ABC transporter,cysT,2990067,2990918,852,-1,FALSE,0.07862069,0.013793103,0.051034483,0.064827586,0.012413793,0.057931034,NE,GR-GD,NE,0.164137931,0.144827586,NE,NA
R7A2020_14740,NA,sulfate ABC transporter substrate-binding protein,K23163,sulfate/thiosulfate transport system substrate-binding protein,sbp,P,"TIGRFAM sulfate ABC transporter, periplasmic sulfate-binding protein",R7A2020_14740,2991000,2992028,1029,-1,FALSE,0.055936073,0.03196347,0.046803653,0.051369863,0.04109589,0.055936073,NE,NE,NE,0.130136986,0.141552511,NE,NA
R7A2020_14745,NA,M15 family metallopeptidase,K08641,zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22],ddpX,M,Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide,R7A2020_14745,2992233,2992964,732,-1,FALSE,0.036918138,0.036918138,0.027287319,0.048154093,0.033707865,0.035313002,NE,NE,NE,0.101123596,0.128410915,NE,NA
R7A2020_14750,NA,penicillin-binding protein 1C,K05367,penicillin-binding protein 1C [EC:2.4.1.129],pbpC,M,penicillin-binding protein,pbpC,2992957,2995062,2106,-1,FALSE,0.071468453,0.050809604,0.056951424,0.067001675,0.042434394,0.060301508,NE,NE,NE,0.165270798,0.164154104,NE,NA
R7A2020_14755,NA,hypothetical protein,K06894,alpha-2-macroglobulin,yfhM,S,Large extracellular alpha-helical protein,R7A2020_14755,2995228,3000714,5487,-1,FALSE,0.074383708,0.053376206,0.063665595,0.078885316,0.045016077,0.057020364,NE,NE,NE,0.180064309,0.172347267,NE,NA
R7A2020_14760,NA,outer membrane protein assembly factor,K07278,translocation and assembly module TamA,tamA,M,surface antigen,R7A2020_14760,3000986,3002914,1929,1,FALSE,0.057282145,0.062157221,0.061547837,0.053016453,0.054844607,0.043875686,NE,NE,NE,0.158439976,0.149908592,NE,NA
R7A2020_14765,NA,DUF490 domain-containing protein,K09800,translocation and assembly module TamB,tamB,S,"TamB, inner membrane protein subunit of TAM complex",R7A2020_14765,3002916,3008969,6054,1,FALSE,0.081212357,0.064309306,0.066252186,0.076743734,0.045851953,0.06489217,NE,NE,NE,0.193316495,0.181270643,NE,NA
R7A2020_14770,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,NA,E,ABC-type dipeptide transport system periplasmic component,R7A2020_14770,3009223,3010878,1656,1,FALSE,0.078069553,0.048261178,0.049680625,0.063165366,0.03761533,0.05535841,NE,NE,NE,0.178140525,0.151171043,NE,NA
R7A2020_14775,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,NA,EP,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",R7A2020_14775,3011134,3012135,1002,1,FALSE,0.050469484,0.03286385,0.041079812,0.048122066,0.025821596,0.041079812,NE,NE,NE,0.126760563,0.123239437,NE,NA
R7A2020_14780,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,NA,EP,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_14780,3012148,3013305,1158,1,FALSE,0.055780933,0.050709939,0.054766734,0.058823529,0.035496957,0.063894523,NE,NE,NE,0.160243408,0.163286004,NE,NA
R7A2020_14785,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,gsiA3,P,Belongs to the ABC transporter superfamily,R7A2020_14785,3013354,3015675,2322,1,FALSE,0.055217832,0.040526849,0.055724417,0.055724417,0.026849037,0.050658561,NE,NE,NE,0.139311044,0.132725431,NE,NA
R7A2020_14790,NA,transglycosylase SLT domain-containing protein,NA,NA,NA,S,Protein conserved in bacteria,R7A2020_14790,3015688,3016278,591,-1,FALSE,0.053677932,0.051689861,0.057654076,0.043737575,0.017892644,0.041749503,NE,NE,NE,0.13916501,0.085487078,NE,NA
R7A2020_14795,NA,trimethylamine methyltransferase family protein,K14083,trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250],NA,H,Trimethylamine methyltransferase (MTTB),R7A2020_14795,3016495,3018033,1539,1,FALSE,0.057251908,0.058015267,0.048091603,0.059541985,0.046564885,0.055725191,NE,NE,NE,0.151145038,0.160305344,NE,NA
R7A2020_14800,NA,FAD-dependent oxidoreductase,K00315,dimethylglycine dehydrogenase [EC:1.5.8.4],NA,E,Belongs to the GcvT family,R7A2020_14800,3018091,3020517,2427,1,FALSE,0.060562016,0.060562016,0.065406977,0.065891473,0.045542636,0.054748062,NE,NE,NE,0.162306202,0.157945736,NE,NA
R7A2020_14805,NA,DoxX family protein,K15977,putative oxidoreductase,NA,S,DoxX,R7A2020_14805,3020539,3020931,393,-1,FALSE,0.032835821,0.020895522,0.044776119,0.044776119,0.017910448,0.044776119,NE,NE,NE,0.110447761,0.128358209,NE,NA
R7A2020_14810,NA,hypothetical protein,NA,NA,NA,S,Evidence 4 Homologs of previously reported genes of,R7A2020_14810,3021119,3021622,504,1,FALSE,0.06993007,0.060606061,0.060606061,0.090909091,0.067599068,0.062937063,NE,NE,NE,0.172494172,0.216783217,NE,NA
R7A2020_14815,NA,VOC family protein,K06996,uncharacterized protein,NA,S,Glyoxalase bleomycin resistance protein dioxygenase,R7A2020_14815,3021699,3022475,777,-1,FALSE,0.078549849,0.054380665,0.049848943,0.070996979,0.046827795,0.061933535,NE,NE,NE,0.16918429,0.172205438,NE,NA
R7A2020_14820,NA,gamma-glutamylcyclotransferase,K07232,glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7],NA,P,"Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides",R7A2020_14820,3022641,3023375,735,1,FALSE,0.071884984,0.062300319,0.054313099,0.068690096,0.047923323,0.060702875,NE,NE,NE,0.194888179,0.169329073,NE,NA
R7A2020_14825,NA,NAD(P)-dependent oxidoreductase,K17722,dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1],preT,C,NADPH-dependent glutamate synthase beta,R7A2020_14825,3023497,3024852,1356,1,FALSE,0.063258232,0.052859619,0.043327556,0.059792028,0.052859619,0.047660312,NE,NE,NE,0.16897747,0.167244367,NE,NA
R7A2020_14830,NA,methyltransferase domain-containing protein,NA,NA,NA,Q,Mycolic acid cyclopropane synthetase,R7A2020_14830,3024858,3025700,843,1,FALSE,0.059972106,0.047419805,0.047419805,0.065550907,0.044630404,0.052998605,NE,NE,NE,0.143654114,0.145048815,NE,NA
R7A2020_14835,NA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,K17723,dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1],preA,CF,Dehydrogenase,preA,3025713,3027026,1314,1,FALSE,0.072450805,0.04293381,0.051878354,0.078711986,0.040250447,0.045617174,NE,NE,NE,0.172629696,0.168157424,NE,NA
R7A2020_14840,NA,Rrf2 family transcriptional regulator,NA,NA,NA,K,transcriptional regulator,R7A2020_14840,3027131,3027655,525,1,FALSE,0.055928412,0.020134228,0.03803132,0.058165548,0.029082774,0.022371365,NE,NE,NE,0.11409396,0.116331096,NE,NA
R7A2020_14845,NA,carboxymuconolactone decarboxylase family protein,NA,NA,NA,S,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity,R7A2020_14845,3027667,3028125,459,1,FALSE,0.073979592,0.048469388,0.058673469,0.091836735,0.043367347,0.066326531,NE,NE,NE,0.178571429,0.183673469,NE,NA
R7A2020_14850,NA,DoxX family protein,NA,NA,doxX,S,DoxX,R7A2020_14850,3028193,3028570,378,1,FALSE,0.074303406,0.06501548,0.058823529,0.061919505,0.043343653,0.049535604,NE,NE,NE,0.160990712,0.139318885,NE,NA
R7A2020_14855,NA,SDR family oxidoreductase,NA,NA,NA,IQ,short-chain dehydrogenase,R7A2020_14855,3028580,3029302,723,-1,FALSE,0.069918699,0.055284553,0.045528455,0.082926829,0.043902439,0.050406504,NE,NE,NE,0.157723577,0.182113821,NE,NA
R7A2020_14860,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Belongs to the short-chain dehydrogenases reductases (SDR) family,R7A2020_14860,3029299,3030138,840,-1,FALSE,0.075630252,0.033613445,0.053221289,0.072829132,0.036414566,0.043417367,NE,NE,NE,0.148459384,0.172268908,NE,NA
R7A2020_14865,NA,helix-turn-helix domain-containing protein,NA,NA,NA,K,Transcriptional regulator,R7A2020_14865,3030243,3031115,873,1,FALSE,0.071332436,0.051144011,0.055181696,0.079407806,0.036339166,0.052489906,NE,NE,NE,0.165545087,0.153432032,NE,NA
R7A2020_14870,NA,TetR/AcrR family transcriptional regulator,K09017,TetR/AcrR family transcriptional regulator,rutR,K,Transcriptional regulator,R7A2020_14870,3031134,3031769,636,-1,FALSE,0.033210332,0.040590406,0.04797048,0.038745387,0.033210332,0.049815498,NE,NE,NE,0.119926199,0.121771218,NE,NA
R7A2020_14875,NA,aspartate aminotransferase family protein,K00822,beta-alanine--pyruvate transaminase [EC:2.6.1.18],bioA2,H,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,R7A2020_14875,3031997,3033325,1329,1,FALSE,0.054818744,0.057471264,0.039787798,0.032714412,0.040671972,0.044208665,NE,NE,NE,0.139699381,0.109637489,NE,NA
R7A2020_14880,NA,Zn-dependent hydrolase,K06016,beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87],amaB,E,the allantoate amidohydrolase from Escherichia coli forms a dimer and binds zinc ions for catalytic activity and catalyzes the conversion of allantoate to (S)-ureidoglycolate and ammonia,R7A2020_14880,3033391,3034641,1251,1,FALSE,0.062030075,0.047932331,0.04887218,0.061090226,0.034774436,0.056390977,NE,NE,NE,0.156954887,0.159774436,NE,NA
R7A2020_14885,NA,dihydropyrimidinase,K01464,dihydropyrimidinase [EC:3.5.2.2],dht,F,COG0044 Dihydroorotase and related cyclic,hydA,3034707,3036158,1452,1,FALSE,0.072874494,0.044534413,0.058299595,0.084210526,0.037246964,0.067206478,NE,NE,NE,0.181376518,0.180566802,NE,NA
R7A2020_14890,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_14890,3036161,3036532,372,1,FALSE,0.059936909,0.047318612,0.034700315,0.044164038,0.028391167,0.066246057,NE,NE,NE,0.154574132,0.154574132,NE,NA
R7A2020_14895,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_14895,3036537,3036941,405,1,FALSE,0.057971014,0.031884058,0.031884058,0.026086957,0.023188406,0.04057971,NE,NE,NE,0.127536232,0.086956522,NE,NA
R7A2020_14900,NA,cupin domain-containing protein,NA,NA,NA,G,3-hydroxyanthranilic acid dioxygenase,R7A2020_14900,3036959,3037363,405,-1,FALSE,0.066666667,0.031884058,0.046376812,0.049275362,0.014492754,0.046376812,NE,NE,NE,0.139130435,0.113043478,NE,NA
R7A2020_14905,NA,ABC transporter ATP-binding protein,K02049,NitT/TauT family transport system ATP-binding protein,tauB,P,ABC-type nitrate sulfonate bicarbonate transport system ATPase component,R7A2020_14905,3037494,3038285,792,1,FALSE,0.045994065,0.043026706,0.045994065,0.056379822,0.03115727,0.026706231,NE,NE,NE,0.137982196,0.143916914,NE,NA
R7A2020_14910,NA,ABC transporter permease,K02050,NitT/TauT family transport system permease protein,NA,P,Binding-protein-dependent transport system inner membrane component,R7A2020_14910,3038299,3039177,879,1,FALSE,0.078771696,0.049399199,0.060080107,0.074766355,0.034712951,0.054739653,NE,NE,NE,0.205607477,0.185580774,NE,NA
R7A2020_14915,NA,ABC transporter permease,K02050,NitT/TauT family transport system permease protein,NA,P,ABC-type nitrate sulfonate bicarbonate transport system permease component,R7A2020_14915,3039174,3040328,1155,1,FALSE,0.065106816,0.04577823,0.048830112,0.048830112,0.037639878,0.036622584,NE,NE,NE,0.153611394,0.125127162,NE,NA
R7A2020_14920,NA,ABC transporter substrate-binding protein,K02051,NitT/TauT family transport system substrate-binding protein,thiY,P,ABC-type nitrate sulfonate bicarbonate transport,R7A2020_14920,3040369,3041340,972,1,FALSE,0.053204353,0.042321644,0.043530834,0.049576784,0.024183797,0.037484885,NE,NE,NE,0.134220073,0.114873035,NE,NA
R7A2020_14925,NA,Lrp/AsnC family transcriptional regulator,K03719,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",NA,K,helix_turn_helix ASNC type,R7A2020_14925,3041411,3041869,459,-1,FALSE,0.048469388,0.017857143,0.043367347,0.043367347,0.020408163,0.051020408,NE,NE,NE,0.117346939,0.125,NE,NA
R7A2020_14930,NA,cystathionine gamma-synthase family protein,NA,NA,mdeA,E,Catalyzes the formation of methanethiol and 2-ocobutanoate from L-methionine,R7A2020_14930,3041991,3043274,1284,1,FALSE,0.073260073,0.061355311,0.056776557,0.090659341,0.032967033,0.055860806,NE,NE,NE,0.177655678,0.179487179,NE,NA
R7A2020_14935,NA,CHRD domain-containing protein,NA,NA,NA,M,A domain in the BMP inhibitor chordin and in microbial proteins.,R7A2020_14935,3043426,3043869,444,1,FALSE,0.066137566,0.034391534,0.021164021,0.074074074,0.029100529,0.044973545,NE,NE,NE,0.153439153,0.158730159,NE,NA
